PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,AgeGroup,FamilySize
26,0,2,Sneha Patel 26,female,22.1,0,0,39.37,S,Young Adult,1
27,1,3,Vikram Das 27,male,18.5,0,0,7.1,S,Young Adult,1
28,1,2,Meera Nair 28,male,33.4,4,2,21.9,C,Young Adult,7
29,1,3,Kiran Gupta 29,male,33.4,0,1,14.29,S,Young Adult,2
30,0,3,Pooja Iyer 30,male,22.9,1,0,14.68,S,Young Adult,2
31,0,3,Aarav Sharma 31,male,23.4,0,0,17.27,S,Young Adult,1
32,0,3,Ananya Rao 32,male,33.2,1,0,28.08,S,Young Adult,2
33,1,3,Rahul Kumar 33,male,9.7,1,0,10.58,S,Child,2
34,1,3,Priya Reddy 34,female,10.3,0,0,5.61,S,Child,1
35,1,1,Arjun Singh 35,female,19.9,0,0,73.97,Q,Young Adult,1
36,1,3,Sneha Patel 36,female,27.0,0,0,6.15,S,Young Adult,1
37,0,2,Vikram Das 37,male,29.6,0,0,24.73,S,Young Adult,1
38,1,1,Meera Nair 38,male,50.7,2,0,99.36,S,Adult,3
39,0,3,Kiran Gupta 39,female,42.0,1,0,7.86,C,Adult,2
40,1,1,Pooja Iyer 40,male,27.8,3,3,86.79,S,Young Adult,7
41,0,3,Aarav Sharma 41,male,29.7,0,1,11.87,Q,Young Adult,2
42,0,3,Ananya Rao 42,male,16.0,1,0,21.51,S,Teenager,2
43,0,3,Rahul Kumar 43,male,29.7,3,2,32.22,S,Young Adult,6
44,0,2,Priya Reddy 44,female,26.0,0,0,20.75,S,Young Adult,1
45,1,1,Arjun Singh 45,male,34.5,0,2,81.08,S,Young Adult,3
46,1,3,Sneha Patel 46,female,18.4,1,1,20.35,S,Young Adult,3
47,0,2,Vikram Das 47,male,37.3,0,0,30.46,S,Adult,1
48,0,3,Meera Nair 48,male,51.5,1,0,26.77,C,Adult,2
49,0,3,Kiran Gupta 49,male,28.5,0,0,16.67,S,Young Adult,1
50,1,3,Pooja Iyer 50,male,35.6,1,0,9.13,S,Adult,2
51,1,2,Aarav Sharma 51,female,39.7,0,0,29.73,S,Adult,1
52,0,2,Ananya Rao 52,female,24.4,0,0,33.87,S,Young Adult,1
53,1,3,Rahul Kumar 53,female,33.1,0,0,18.56,S,Young Adult,1
54,1,2,Priya Reddy 54,female,29.6,1,1,29.06,S,Young Adult,3
55,1,1,Arjun Singh 55,male,31.4,1,4,93.53,S,Young Adult,6
56,1,3,Sneha Patel 56,female,19.2,0,0,21.35,C,Young Adult,1
57,1,3,Vikram Das 57,male,29.6,0,0,23.06,S,Young Adult,1
58,0,3,Meera Nair 58,male,37.0,2,0,17.19,S,Adult,3
59,1,3,Kiran Gupta 59,male,50.3,0,0,10.66,C,Adult,1
60,0,1,Pooja Iyer 60,male,43.4,1,2,86.17,C,Adult,4
61,0,3,Aarav Sharma 61,male,60.1,0,0,21.65,S,Senior,1
62,0,3,Ananya Rao 62,male,19.3,0,0,5.46,C,Young Adult,1
63,0,1,Rahul Kumar 63,female,42.2,0,0,87.95,S,Adult,1
64,0,3,Priya Reddy 64,male,32.6,0,0,8.85,S,Young Adult,1
65,0,3,Arjun Singh 65,male,60.7,1,0,12.23,S,Senior,2
66,0,3,Sneha Patel 66,male,18.7,0,1,22.23,S,Young Adult,2
67,0,3,Vikram Das 67,male,18.2,0,0,13.53,S,Young Adult,1
68,0,3,Meera Nair 68,female,21.6,2,0,12.37,Q,Young Adult,3
69,0,2,Kiran Gupta 69,male,1.0,0,0,14.12,S,Child,1
70,1,2,Pooja Iyer 70,female,29.6,0,2,30.97,S,Young Adult,3
71,1,3,Aarav Sharma 71,female,19.4,2,2,17.16,S,Young Adult,5
72,0,3,Ananya Rao 72,male,32.1,1,0,29.31,Q,Young Adult,2
73,0,3,Rahul Kumar 73,male,34.8,0,0,9.54,S,Young Adult,1
74,1,3,Priya Reddy 74,female,56.3,3,0,13.75,S,Adult,4
75,1,3,Arjun Singh 75,female,43.3,1,0,14.0,S,Adult,2
76,0,3,Sneha Patel 76,female,21.9,0,2,24.62,S,Young Adult,3
77,1,3,Vikram Das 77,female,17.4,0,0,11.24,Q,Teenager,1
78,0,3,Meera Nair 78,male,36.9,1,0,14.23,Q,Adult,2
79,1,3,Kiran Gupta 79,male,11.5,1,0,16.86,S,Child,2
80,0,3,Pooja Iyer 80,male,55.6,0,0,13.49,Q,Adult,1
81,1,3,Aarav Sharma 81,female,46.5,2,0,8.43,S,Adult,3
82,0,2,Ananya Rao 82,male,23.4,1,1,26.55,C,Young Adult,3
83,0,2,Rahul Kumar 83,male,6.0,0,0,33.59,S,Child,1
84,1,1,Priya Reddy 84,male,49.0,0,0,76.79,S,Adult,1
85,0,3,Arjun Singh 85,male,28.4,0,0,13.06,S,Young Adult,1
86,0,1,Sneha Patel 86,male,47.3,1,0,79.4,S,Adult,2
87,0,3,Vikram Das 87,female,7.7,0,0,21.56,S,Child,1
88,0,3,Meera Nair 88,male,21.6,0,0,5.0,S,Young Adult,1
89,1,2,Kiran Gupta 89,female,30.1,1,1,20.53,S,Young Adult,3
90,1,3,Pooja Iyer 90,male,30.7,2,0,15.02,S,Young Adult,3
91,0,1,Aarav Sharma 91,male,23.7,0,0,97.52,S,Young Adult,1
92,0,1,Ananya Rao 92,female,38.7,1,0,84.47,S,Adult,2
93,1,3,Rahul Kumar 93,female,15.1,0,0,7.56,Q,Teenager,1
94,0,2,Priya Reddy 94,male,28.0,1,3,40.05,S,Young Adult,5
95,1,1,Arjun Singh 95,female,31.7,0,1,73.42,S,Young Adult,2
96,0,3,Sneha Patel 96,male,37.2,0,0,5.0,S,Adult,1
97,1,3,Vikram Das 97,male,40.0,1,0,15.52,C,Adult,2
98,0,1,Meera Nair 98,male,14.3,0,0,80.98,S,Teenager,1
99,1,3,Kiran Gupta 99,male,8.5,0,0,5.0,S,Child,1
100,0,1,Pooja Iyer 100,male,47.9,1,0,90.67,C,Adult,2
101,0,1,Aarav Sharma 101,male,34.7,1,0,86.95,Q,Young Adult,2
102,0,3,Ananya Rao 102,male,19.5,1,0,7.49,S,Young Adult,2
103,1,3,Rahul Kumar 103,male,51.7,1,0,5.0,S,Adult,2
104,0,3,Priya Reddy 104,male,31.6,0,1,18.98,S,Young Adult,2
105,1,3,Arjun Singh 105,female,46.5,0,0,17.2,C,Adult,1
106,0,3,Sneha Patel 106,male,30.9,0,0,11.21,S,Young Adult,1
107,1,3,Vikram Das 107,male,58.9,0,1,26.77,S,Adult,2
108,0,2,Meera Nair 108,female,54.6,2,0,16.44,Q,Adult,3
109,0,3,Kiran Gupta 109,male,26.5,0,1,5.0,S,Young Adult,2
110,1,2,Pooja Iyer 110,male,43.6,0,0,19.46,S,Adult,1
111,0,2,Aarav Sharma 111,male,39.0,0,0,24.64,S,Adult,1
112,1,1,Ananya Rao 112,male,49.2,3,1,86.95,S,Adult,5
113,1,1,Rahul Kumar 113,female,16.5,0,1,83.07,S,Teenager,2
114,1,3,Priya Reddy 114,female,39.6,0,1,14.82,S,Adult,2
115,0,3,Arjun Singh 115,male,44.8,0,0,5.0,S,Adult,1
116,1,3,Sneha Patel 116,female,5.4,1,0,23.55,S,Child,2
117,0,2,Vikram Das 117,female,13.4,0,0,24.34,Q,Teenager,1
118,0,1,Meera Nair 118,male,1.5,2,0,93.94,S,Child,3
119,1,1,Kiran Gupta 119,female,26.2,3,2,87.74,Q,Young Adult,6
120,0,2,Pooja Iyer 120,male,40.0,0,0,28.65,S,Adult,1
121,1,3,Aarav Sharma 121,female,51.0,1,3,16.56,C,Adult,5
122,0,3,Ananya Rao 122,female,31.0,2,0,15.58,C,Young Adult,3
123,0,3,Rahul Kumar 123,male,52.8,1,0,17.14,S,Adult,2
124,0,2,Priya Reddy 124,male,10.7,0,0,35.63,C,Child,1
125,0,3,Arjun Singh 125,male,6.2,0,2,13.57,C,Child,3
126,0,3,Sneha Patel 126,male,29.6,1,1,17.67,S,Young Adult,3
127,0,3,Vikram Das 127,female,35.4,0,1,11.28,S,Adult,2
128,1,3,Meera Nair 128,female,29.5,1,0,23.52,S,Young Adult,2
129,1,2,Kiran Gupta 129,male,1.1,3,1,19.59,C,Child,5
130,0,2,Pooja Iyer 130,male,28.8,2,1,39.41,C,Young Adult,4
131,1,2,Aarav Sharma 131,male,11.7,0,0,24.68,C,Child,1
132,0,3,Ananya Rao 132,male,39.4,0,0,5.0,S,Adult,1
133,1,1,Rahul Kumar 133,male,35.1,4,0,86.02,C,Adult,5
134,0,1,Priya Reddy 134,male,16.8,1,4,79.55,S,Teenager,6
135,1,1,Arjun Singh 135,female,22.8,0,3,91.73,S,Young Adult,4
136,0,1,Sneha Patel 136,male,15.2,2,0,79.78,S,Teenager,3
137,1,3,Vikram Das 137,male,29.1,2,1,8.43,S,Young Adult,4
138,0,3,Meera Nair 138,female,43.4,0,2,5.0,S,Adult,3
139,0,3,Kiran Gupta 139,male,16.2,0,0,8.38,S,Teenager,1
140,1,1,Pooja Iyer 140,female,37.1,0,0,65.61,S,Adult,1
141,1,3,Aarav Sharma 141,female,22.6,0,2,5.0,S,Young Adult,3
142,0,3,Ananya Rao 142,male,18.9,0,0,18.08,S,Young Adult,1
143,1,1,Rahul Kumar 143,male,28.5,1,1,91.29,S,Young Adult,3
144,0,2,Priya Reddy 144,male,15.5,0,0,28.4,S,Teenager,1
145,0,2,Arjun Singh 145,male,22.2,0,2,17.26,S,Young Adult,3
146,1,3,Sneha Patel 146,male,13.2,0,3,11.62,S,Teenager,4
147,0,3,Vikram Das 147,male,57.5,0,3,11.97,S,Adult,4
148,1,1,Meera Nair 148,male,29.6,2,0,75.73,S,Young Adult,3
149,1,2,Kiran Gupta 149,male,20.2,0,2,37.03,S,Young Adult,3
150,1,3,Pooja Iyer 150,male,33.0,0,1,19.02,S,Young Adult,2
151,0,3,Aarav Sharma 151,female,28.4,1,0,10.23,S,Young Adult,2
152,0,3,Ananya Rao 152,male,26.9,0,1,12.22,C,Young Adult,2
153,0,3,Rahul Kumar 153,male,38.6,0,0,13.67,S,Adult,1
154,1,1,Priya Reddy 154,male,40.6,0,0,68.67,S,Adult,1
155,1,1,Arjun Singh 155,female,22.6,0,0,83.02,S,Young Adult,1
156,0,3,Sneha Patel 156,male,29.6,0,0,6.54,S,Young Adult,1
157,1,1,Vikram Das 157,female,26.1,0,0,76.99,S,Young Adult,1
158,1,3,Meera Nair 158,female,1.0,0,1,9.75,S,Child,2
159,0,3,Kiran Gupta 159,male,8.8,2,0,26.38,S,Child,3
160,1,3,Pooja Iyer 160,female,49.1,0,1,17.13,S,Adult,2
161,0,2,Aarav Sharma 161,male,53.0,0,0,20.43,S,Adult,1
162,0,3,Ananya Rao 162,male,26.5,1,0,16.58,C,Young Adult,2
163,1,3,Rahul Kumar 163,male,29.6,0,0,23.19,C,Young Adult,1
164,1,3,Priya Reddy 164,male,34.4,1,1,19.4,S,Young Adult,3
165,0,3,Arjun Singh 165,male,73.1,0,0,12.48,Q,Senior,1
166,1,2,Sneha Patel 166,female,45.7,3,0,19.82,S,Adult,4
167,1,3,Vikram Das 167,male,28.2,0,2,17.59,S,Young Adult,3
168,0,3,Meera Nair 168,male,16.6,0,0,15.15,S,Teenager,1
169,1,1,Kiran Gupta 169,male,7.5,0,0,92.16,S,Child,1
170,0,1,Pooja Iyer 170,male,32.8,4,0,90.08,C,Young Adult,5
171,0,1,Aarav Sharma 171,female,19.4,0,2,93.4,S,Young Adult,3
172,1,1,Ananya Rao 172,male,10.1,0,0,80.72,Q,Child,1
173,1,1,Rahul Kumar 173,male,20.9,0,2,95.54,S,Young Adult,3
174,1,3,Priya Reddy 174,male,14.9,1,0,13.58,Q,Teenager,2
175,1,1,Arjun Singh 175,male,53.6,0,3,101.6,S,Adult,4
176,1,2,Sneha Patel 176,male,42.3,2,1,19.49,S,Adult,4
177,0,3,Vikram Das 177,female,29.9,0,4,25.89,S,Young Adult,5
178,1,1,Meera Nair 178,male,50.7,0,0,86.58,S,Adult,1
179,1,3,Kiran Gupta 179,female,31.1,0,1,6.79,S,Young Adult,2
180,0,2,Pooja Iyer 180,male,17.9,0,0,21.13,S,Teenager,1
181,0,1,Aarav Sharma 181,male,51.3,0,0,82.44,C,Adult,1
182,0,3,Ananya Rao 182,male,37.5,0,0,15.39,S,Adult,1
183,1,3,Rahul Kumar 183,female,15.5,1,2,16.18,S,Teenager,4
184,0,3,Priya Reddy 184,female,27.3,0,4,7.41,S,Young Adult,5
185,0,3,Arjun Singh 185,male,17.7,0,1,11.81,S,Teenager,2
186,1,3,Sneha Patel 186,female,10.6,0,0,29.14,S,Child,1
187,1,2,Vikram Das 187,female,43.0,0,0,38.82,S,Adult,1
188,0,1,Meera Nair 188,male,56.7,0,1,88.49,S,Adult,2
189,0,3,Kiran Gupta 189,male,10.4,0,0,12.3,S,Child,1
190,1,3,Pooja Iyer 190,male,37.9,0,0,12.96,S,Adult,1
191,0,3,Aarav Sharma 191,male,29.6,2,0,16.91,S,Young Adult,3
192,1,2,Ananya Rao 192,female,23.2,3,0,16.82,S,Young Adult,4
193,0,2,Rahul Kumar 193,female,21.7,0,0,22.94,S,Young Adult,1
194,0,3,Priya Reddy 194,male,17.9,0,0,5.0,S,Teenager,1
195,0,2,Arjun Singh 195,male,30.7,1,0,28.19,S,Young Adult,2
196,1,3,Sneha Patel 196,male,18.4,0,0,17.18,S,Young Adult,1
197,1,3,Vikram Das 197,female,33.8,0,4,8.13,Q,Young Adult,5
198,1,2,Meera Nair 198,female,29.3,0,0,37.59,S,Young Adult,1
199,1,3,Kiran Gupta 199,female,26.7,1,0,5.0,C,Young Adult,2
200,1,3,Pooja Iyer 200,female,17.3,1,0,5.0,S,Teenager,2
